"","destination.plate","destination.row","destination.column","media.vol.ul"
"803","23","A","11","240"
"804","23","A","12","240"
"805","23","B","1","240"
"806","23","B","12","240"
"807","23","C","1","240"
"808","23","C","12","240"
"809","23","D","1","240"
"810","23","D","12","240"
"811","23","E","1","240"
"812","23","E","12","240"
"813","23","F","1","240"
"814","23","F","12","240"
"815","23","G","1","240"
"816","23","G","12","240"
"817","23","H","1","240"
"818","23","H","2","240"
"819","23","H","3","240"
"820","23","H","4","240"
"821","23","H","5","240"
"822","23","H","6","240"
"823","23","H","7","240"
"824","23","H","8","240"
"825","23","H","9","240"
"826","23","H","10","240"
"827","23","H","11","240"
"828","23","H","12","240"
"829","24","A","1","240"
"830","24","A","2","240"
"831","24","A","3","240"
"832","24","A","4","240"
"833","24","A","5","240"
"834","24","A","6","240"
"835","24","A","7","240"
"836","24","A","8","240"
"837","24","A","9","240"
"838","24","A","10","240"
"839","24","A","11","240"
"840","24","A","12","240"
"841","24","B","1","240"
"842","24","B","12","240"
"843","24","C","1","240"
"844","24","C","12","240"
"845","24","D","1","240"
"846","24","D","12","240"
"847","24","E","1","240"
"848","24","E","12","240"
"849","24","F","1","240"
"850","24","F","12","240"
"851","24","G","1","240"
"852","24","G","12","240"
"853","24","H","1","240"
"854","24","H","2","240"
"855","24","H","3","240"
"856","24","H","4","240"
"857","24","H","5","240"
"858","24","H","6","240"
"859","24","H","7","240"
"860","24","H","8","240"
"861","24","H","9","240"
"862","24","H","10","240"
"863","24","H","11","240"
"864","24","H","12","240"
"865","25","A","1","240"
"866","25","A","2","240"
"867","25","A","3","240"
"868","25","A","4","240"
"869","25","A","5","240"
"870","25","A","6","240"
"871","25","A","7","240"
"872","25","A","8","240"
"873","25","A","9","240"
"874","25","A","10","240"
"875","25","A","11","240"
"876","25","A","12","240"
"877","25","B","1","240"
"878","25","B","12","240"
"879","25","C","1","240"
"880","25","C","12","240"
"881","25","D","1","240"
"882","25","D","12","240"
"883","25","E","1","240"
"884","25","E","12","240"
"885","25","F","1","240"
"886","25","F","12","240"
"887","25","G","1","240"
"888","25","G","12","240"
